日期,天气情况,气温,风力风向
2023年01月01日,多云/晴,-8℃/6℃,东北风1-2级/东南风1-2级
2023年01月02日,晴/晴,-7℃/5℃,南风1-2级/西风1-2级
2023年01月03日,晴/晴,-11℃/6℃,南风1-2级/西北风1-2级
2023年01月04日,晴/晴,-9℃/6℃,北风1-2级/西风1-2级
2023年01月05日,晴/晴,-8℃/6℃,西南风1-2级/西北风3-4级
2023年01月06日,晴/晴,-10℃/5℃,西北风3-4级/西北风3-4级
2023年01月07日,晴/晴,-7℃/10℃,西南风1-2级/西风1-2级
2023年01月08日,晴/晴,-5℃/8℃,东北风1-2级/东北风1-2级
2023年01月09日,晴/晴,-8℃/7℃,东风1-2级/东风1-2级
2023年01月10日,晴/多云,-5℃/7℃,南风1-2级/东风1-2级
2023年01月11日,多云/多云,0℃/6℃,南风1-2级/东北风1-2级
2023年01月12日,晴/晴,-2℃/3℃,东北风1-2级/北风1-2级
2023年01月13日,小雨/中雪,-5℃/8℃,东北风3-4级/东北风3-4级
2023年01月14日,多云/晴,-13℃/-2℃,北风3-4级/西北风1-2级
2023年01月15日,晴/晴,-16℃/-1℃,西北风3-4级/西南风1-2级
2023年01月16日,多云/多云,-17℃/0℃,西北风3-4级/西北风1-2级
2023年01月17日,晴/晴,-15℃/0℃,西北风3-4级/西风1-2级
2023年01月18日,晴/晴,-12℃/2℃,西南风1-2级/西南风1-2级
2023年01月19日,晴/晴,-17℃/2℃,西北风3-4级/南风1-2级
2023年01月20日,晴/晴,-12℃/0℃,西南风1-2级/西南风1-2级
2023年01月21日,晴/晴,-10℃/4℃,东风1-2级/西北风1-2级
2023年01月22日,晴/晴,-10℃/3℃,西北风3-4级/西北风3-4级
2023年01月23日,晴/晴,-19℃/-2℃,西北风3-4级/西北风3-4级
2023年01月24日,晴/晴,-18℃/-6℃,西南风3-4级/西南风1-2级
2023年01月25日,晴/多云,-10℃/3℃,西南风3-4级/西风1-2级
2023年01月26日,多云/晴,-12℃/2℃,西北风3-4级/西北风3-4级
2023年01月27日,晴/晴,-12℃/0℃,西风4-5级/西南风1-2级
2023年01月28日,晴/晴,-12℃/5℃,西北风3-4级/西南风1-2级
2023年01月29日,晴/晴,-11℃/7℃,西南风1-2级/西北风1-2级
2023年01月30日,晴/晴,-8℃/5℃,南风1-2级/西北风1-2级
2023年01月31日,多云/多云,-7℃/9℃,北风1-2级/北风3-4级
2023年02月01日,多云/多云,-6℃/3℃,东北风3-4级/东北风1-2级
2023年02月02日,晴/晴,-8℃/4℃,南风1-2级/南风1-2级
2023年02月03日,晴/晴,-9℃/8℃,西北风3-4级/西北风1-2级
2023年02月04日,晴/晴,-8℃/6℃,南风1-2级/东南风1-2级
2023年02月05日,晴/晴,-5℃/8℃,南风1-2级/西北风1-2级
2023年02月06日,晴/晴,-6℃/8℃,东风1-2级/东北风1-2级
2023年02月07日,晴/多云,-5℃/10℃,南风1-2级/东北风1-2级
2023年02月08日,阴/中雪,-2℃/5℃,东风1-2级/东北风1-2级
2023年02月09日,小雨/晴,-6℃/4℃,西南风1-2级/东南风1-2级
2023年02月10日,晴/晴,-2℃/8℃,南风1-2级/东风1-2级
2023年02月11日,多云/雨夹雪,-1℃/8℃,东风1-2级/北风1-2级
2023年02月12日,小雨/多云,-3℃/3℃,东北风3-4级/东南风1-2级
2023年02月13日,多云/阴,-7℃/1℃,北风1-2级/北风1-2级
2023年02月14日,晴/晴,-8℃/3℃,东风1-2级/东北风1-2级
2023年02月15日,晴/晴,-6℃/5℃,西南风1-2级/南风1-2级
2023年02月16日,晴/晴,-4℃/8℃,西南风1-2级/东风1-2级
2023年02月17日,晴/多云,-1℃/9℃,南风1-2级/西南风1-2级
2023年02月18日,晴/晴,-7℃/5℃,西北风3-4级/西北风3-4级
2023年02月19日,晴/晴,-7℃/7℃,西风1-2级/东南风1-2级
2023年02月20日,多云/多云,-4℃/8℃,东风1-2级/东北风1-2级
2023年02月21日,多云/多云,-3℃/5℃,西南风1-2级/南风1-2级
2023年02月22日,晴/晴,-4℃/9℃,南风1-2级/北风1-2级
2023年02月23日,多云/多云,-3℃/10℃,南风1-2级/东北风1-2级
2023年02月24日,小雨/晴,-4℃/5℃,东北风1-2级/北风1-2级
2023年02月25日,晴/晴,-3℃/8℃,东风1-2级/东风1-2级
2023年02月26日,晴/晴,-2℃/10℃,南风1-2级/西风1-2级
2023年02月27日,晴/多云,-1℃/13℃,南风1-2级/西北风1-2级
2023年02月28日,晴/晴,-2℃/13℃,北风3-4级/北风3-4级
