date,max_temperature,min_etemprature,weather,wind_power
2023-01-01 星期日 ,3℃,-3℃,多云,北风 1级
2023-01-02 星期一 ,4℃,-4℃,晴,东风 2级
2023-01-03 星期二 ,5℃,-11℃,晴,西风 1级
2023-01-04 星期三 ,6℃,-9℃,多云,东南风 1级
2023-01-05 星期四 ,5℃,-8℃,多云,西南风 1级
2023-01-06 星期五 ,9℃,-10℃,晴,西南风 1级
2023-01-07 星期六 ,10℃,-6℃,晴,西南风 1级
2023-01-08 星期日 ,12℃,-7℃,晴,东北风 2级
2023-01-09 星期一 ,9℃,-6℃,晴,东北风 1级
2023-01-10 星期二 ,6℃,-5℃,晴,东北风 2级
2023-01-11 星期三 ,5℃,-2℃,多云,北风 1级
2023-01-12 星期四 ,6℃,-2℃,多云,北风 2级
2023-01-13 星期五 ,5℃,-5℃,多云,西南风 4级
2023-01-14 星期六 ,-4℃,-13℃,阴,西风 2级
2023-01-15 星期日 ,-4℃,-16℃,晴,西风 2级
2023-01-16 星期一 ,-3℃,-12℃,阴,南风 1级
2023-01-17 星期二 ,0℃,-12℃,晴,西南风 1级
2023-01-18 星期三 ,2℃,-11℃,晴,西风 1级
2023-01-19 星期四 ,2℃,-14℃,晴,北风 1级
2023-01-20 星期五 ,0℃,-12℃,晴,南风 1级
2023-01-21 星期六 ,1℃,-9℃,晴,东风 1级
2023-01-22 星期日 ,4℃,-8℃,多云,西风 2级
2023-01-23 星期一 ,-2℃,-17℃,晴,西北风 3级
2023-01-24 星期二 ,-8℃,-20℃,晴,北风 1级
2023-01-25 星期三 ,-1℃,-11℃,晴,西南风 2级
2023-01-26 星期四 ,1℃,-12℃,多云,西北风 2级
2023-01-27 星期五 ,0℃,-15℃,晴,西风 1级
2023-01-28 星期六 ,2℃,-12℃,晴,南风 1级
2023-01-29 星期日 ,8℃,-11℃,晴,北风 1级
2023-01-30 星期一 ,8℃,-9℃,晴,东北风 1级
2023-01-31 星期二 ,11℃,-5℃,多云,北风 3级
2023-02-01 星期三 ,3℃,-6℃,多云,东北风 1级
2023-02-02 星期四 ,2℃,-8℃,多云,东风 1级
2023-02-03 星期五 ,6℃,-9℃,多云,北风 2级
2023-02-04 星期六 ,7℃,-7℃,晴,南风 1级
2023-02-05 星期日 ,9℃,-6℃,晴,东北风 1级
2023-02-06 星期一 ,11℃,-7℃,多云,东北风 1级
2023-02-07 星期二 ,9℃,-3℃,晴,东北风 2级
2023-02-08 星期三 ,5℃,-2℃,多云,东南风 2级
2023-02-09 星期四 ,0℃,-9℃,中雪,西南风 3级
2023-02-10 星期五 ,4℃,-5℃,多云,东北风 1级
2023-02-11 星期六 ,5℃,0℃,多云,东北风 2级
2023-02-12 星期日 ,2℃,-4℃,小雪,东风 2级
2023-02-13 星期一 ,2℃,-7℃,多云,北风 2级
2023-02-14 星期二 ,3℃,-7℃,多云,东风 1级
2023-02-15 星期三 ,2℃,-7℃,多云,东南风 1级
2023-02-16 星期四 ,5℃,-4℃,多云,南风 1级
2023-02-17 星期五 ,7℃,-1℃,多云,东风 1级
2023-02-18 星期六 ,8℃,-7℃,雾,西风 1级
2023-02-19 星期日 ,8℃,-8℃,晴,南风 1级
2023-02-20 星期一 ,10℃,-2℃,多云,东南风 2级
2023-02-21 星期二 ,7℃,-2℃,多云,南风 2级
2023-02-22 星期三 ,10℃,-3℃,多云,北风 2级
2023-02-23 星期四 ,10℃,-1℃,多云,西南风 1级
2023-02-24 星期五 ,4℃,-4℃,中雪,东北风 2级
2023-02-25 星期六 ,7℃,-4℃,雾,东北风 1级
2023-02-26 星期日 ,8℃,-3℃,多云,东北风 1级
2023-02-27 星期一 ,10℃,0℃,多云,西北风 1级
2023-02-28 星期二 ,13℃,-2℃,多云,北风 2级
